,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
173,NOLSM2631020263,1,1,3,2,2,11322,50
174,NOLSM2012020,1,1,3,2,2,11322,92
175,NOLSM2691026269,1,1,3,2,2,11322,51
176,NOLSM2612626,1,1,3,2,2,11322,90
177,NOLSM2661023266,1,1,3,2,2,11322,72
178,NOLSM4261621,1,1,3,3,3,11333,98
179,NOLSM126518,1,1,3,3,3,11333,50
180,NOLSM7502821750,1,1,3,3,3,11333,114
181,NOLSM5252012,1,1,3,3,3,11333,66
182,NOLSM227911,1,1,3,3,3,11333,94
183,NOLSM4741815,1,1,3,3,3,11333,21
184,NOLSM2412424,1,1,3,3,3,11333,130
185,NOLSM6752527,1,1,3,3,3,11333,138
186,NOLSM7562827756,1,1,3,3,3,11333,171
187,NOLSM328134,1,1,3,3,3,11333,105
188,NOLSM7252723,1,1,3,3,3,11333,81
189,NOLSM2922,1,1,3,3,3,11333,109
190,NOLSM7772921,1,1,3,3,3,11333,66
191,NOLSM2712727,1,1,3,3,3,11333,146
192,NOLSM627246,1,1,3,3,3,11333,33
193,NOLSM177715,1,1,3,3,3,11333,92
194,NOLSM2641021264,1,1,3,3,3,11333,81
195,NOLSM3781427,1,1,3,3,3,11333,75
196,NOLSM2671024267,1,1,3,3,3,11333,57
197,NOLSM5101924510,1,1,3,3,3,11333,24
198,NOLSM2701027270,1,1,3,3,3,11333,104
199,NOLSM5071921507,1,1,3,3,3,11333,57
200,NOLSM5131927513,1,1,3,3,3,11333,66
201,NOLSM2112121,1,1,3,3,3,11333,255
202,NOLSM7532824753,1,1,3,3,3,11333,84
203,NOLSM576229,1,1,3,3,3,11333,75
204,NOLSM8253115,1,1,3,3,3,11333,66
205,NOLSM277117,1,1,3,3,3,11333,140
206,NOLSM76322,1,1,3,3,3,11333,87
207,NOLSM355144,1,2,1,1,1,12111,88
208,NOLSM757291757,1,2,1,1,1,12111,186
209,NOLSM342734,1,2,1,1,1,12111,105
210,NOLSM312431,1,2,1,1,1,12111,42
211,NOLSM4511719,1,2,1,1,1,12111,122
212,NOLSM204815,1,2,1,1,1,12111,73
213,NOLSM7532824,1,2,1,1,1,12111,84
214,NOLSM514201514,1,2,1,1,1,12111,96
215,NOLSM651253,1,2,1,1,1,12111,195
216,NOLSM520207520,1,2,1,1,1,12111,48
217,NOLSM517204517,1,2,1,1,1,12111,45
218,NOLSM760294760,1,2,1,1,1,12111,207
219,NOLSM282128,1,2,1,1,1,12111,91
220,NOLSM154619,1,2,1,1,1,12111,69
221,NOLSM603239,1,2,1,1,1,12111,63
222,NOLSM5011915,1,2,1,1,1,12111,180
223,NOLSM102421,1,2,1,1,1,12111,68
224,NOLSM5522112,1,2,1,1,1,12111,129
225,NOLSM303126,1,2,1,1,1,12111,66
226,NOLSM7022627,1,2,1,1,1,12111,57
227,NOLSM414,1,2,1,1,1,12111,117
