PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563287,2008-08-02:03:31:22,양품,COMMON,T7,75.74,1840,16672,36480,3호기,1,1124,77,1127,143,342,1119,811,적용,6,1조
PB563288,2008-08-02:03:31:18,불량,BV-AH36-TL,T7,75.74,1840,9753,10670,3호기,2,1123,55,1135,155,342,1120,811,미적용,6,3조
PB563289,2008-08-02:03:31:28,양품,BV-AH36-TL,T7,75.74,1840,9753,10670,1호기,1,1114,72,1131,155,342,1124,815,적용,6,2조
PB563290,2008-08-02:03:32:35,양품,NV-A,C0,15.08,3333,51475,20310,1호기,2,1122,64,1123,167,342,1109,861,적용,10,2조
PB563291,2008-08-02:03:32:45,양품,NV-A,C0,16.09,3408,50690,43640,3호기,1,1119,75,1133,163,342,1123,867,적용,10,1조
PB563292,2008-08-02:03:33:56,양품,LR-A,C0,13.06,3499,53300,57360,2호기,1,1118,62,1129,174,342,1122,840,적용,10,1조
PB563293,2008-08-02:03:33:46,양품,NV-A,C0,13.06,3445,53682,18960,2호기,2,1147,73,1129,164,342,1124,723,적용,10,3조
PB563294,2008-08-02:03:34:03,양품,NV-A,C0,13.06,3295,52130,17610,3호기,2,1177,139,1139,107,342,1129,842,적용,10,4조
PB563295,2008-08-02:03:34:39,양품,LR-A,C0,13.36,3565,54883,20520,1호기,2,1131,56,1136,178,342,1127,860,적용,10,3조
PB563296,2008-08-02:03:35:16,양품,LR-A,C0,13.06,3270,53930,18080,1호기,1,1178,137,1144,114,342,1135,853,적용,10,1조
PB563297,2008-08-02:05:54:49,양품,LR-A,C0,13.06,3430,52438,36880,2호기,1,1171,125,1133,123,342,1124,909,적용,10,3조
PB563298,2008-08-02:05:54:05,양품,LR-A,C0,13.06,3405,54170,56730,2호기,2,1141,59,1130,194,342,1116,875,적용,10,1조
PB563299,2008-08-02:05:55:41,양품,NV-A,C0,13.36,3573,51718,38760,3호기,1,1169,156,1134,110,342,1124,872,적용,10,2조
PB563300,2008-08-02:05:55:17,양품,BV-A,C0,13.36,3276,43542,44880,3호기,2,1163,133,1135,131,360,1126,879,적용,10,2조
PB563301,2008-08-02:05:55:51,양품,LR-A,C0,13.06,3266,41901,14030,1호기,1,1166,121,1136,138,360,1123,902,적용,10,4조
PB563302,2008-08-02:06:60:18,양품,KR-A,C0,12.55,3391,43403,14500,1호기,2,1165,115,1139,142,360,1127,904,적용,10,1조
PB563303,2008-08-02:06:60:22,양품,NV-A,C0,12.05,3382,48388,15480,2호기,1,1159,141,1136,112,342,1125,893,적용,10,1조
PB563304,2008-08-02:06:60:18,양품,NV-A,C0,12.05,3375,52090,33260,2호기,2,1167,147,1137,118,342,1125,887,적용,10,1조
PB563305,2008-08-02:06:60:22,양품,NV-A,C0,12.56,3210,42686,13510,3호기,1,1160,153,1138,112,342,1125,906,적용,10,4조
PB563306,2008-08-02:06:61:23,양품,AB/A,C0,12.56,3036,43729,39270,3호기,2,1160,115,1139,146,342,1125,932,적용,10,1조
PB563307,2008-08-02:06:61:04,양품,LR-A,C0,12.56,3151,43324,13460,1호기,1,1157,133,1140,130,342,1134,929,적용,10,3조
PB563308,2008-08-02:06:61:21,양품,LR-A,C0,12.55,3151,43359,13460,1호기,2,1161,128,1144,130,342,1134,935,적용,10,2조
PB563309,2008-08-02:06:61:39,불량,NV-A,C0,12.05,3161,43778,26180,2호기,1,1154,148,1143,111,342,1137,924,미적용,10,3조
PB563310,2008-08-02:06:62:07,양품,KR-A,C0,12.56,3101,43663,13350,2호기,2,1158,134,1143,129,342,1134,931,적용,10,1조
PB563311,2008-08-02:06:62:46,양품,NV-A,C0,13.06,2895,52695,46920,3호기,1,1154,158,1144,102,342,1136,926,적용,10,3조
PB563312,2008-08-02:06:62:08,양품,LR-A,C0,13.06,2915,52501,15690,3호기,2,1157,158,1147,101,342,1139,924,적용,10,4조
PB563313,2008-08-02:06:62:32,양품,GL-A,C0,13.06,2895,51819,15380,1호기,1,1157,137,1146,126,342,1139,924,적용,10,1조
PB563314,2008-08-02:06:63:01,양품,NV-A,C0,13.06,2825,52206,15120,1호기,2,1154,136,1147,124,342,1141,924,적용,10,4조
PB563315,2008-08-02:06:63:28,양품,NV-A,C0,13.06,2895,52156,15480,2호기,1,1149,148,1143,123,342,1132,923,적용,10,2조
PB563316,2008-08-02:06:63:18,양품,NK-KA,C0,13.06,2930,52765,47550,2호기,2,1155,140,1145,114,342,1138,927,적용,10,4조
PB563317,2008-08-02:06:63:44,양품,LR-A,C0,13.06,2878,51075,15070,3호기,1,1156,168,1145,94,342,1136,934,적용,10,3조
PB563318,2008-08-02:06:64:58,양품,LR-A,C0,13.06,2912,48368,14440,3호기,2,1158,194,1147,79,342,1140,909,적용,10,4조
PB563319,2008-08-02:06:64:04,양품,LR-A,C0,15.38,3125,51790,19540,1호기,1,1156,157,1148,115,342,1133,942,적용,10,2조
PB563320,2008-08-02:06:64:18,양품,KS-SM490B,C0,16,2930,40950,75350,2호기,2,1151,165,1144,90,342,1138,960,적용,10,2조
PB563321,2008-08-02:06:65:20,양품,LR-A,C0,18.41,3127,46226,41780,1호기,2,1155,158,1151,105,342,1136,959,적용,10,4조
PB563322,2008-08-02:06:65:46,양품,LR-A,C0,17.1,2804,51488,58140,2호기,1,1142,170,1147,69,342,1137,957,적용,10,1조
PB563323,2008-08-02:06:65:11,양품,NV-A,C0,18.11,3122,47067,41780,3호기,1,1138,217,1148,62,342,1137,957,적용,10,2조
PB563324,2008-08-02:06:65:42,양품,NV-A,C0,18.11,3133,48877,21770,3호기,2,1138,239,1150,62,342,1136,956,적용,10,4조
PB563325,2008-08-02:07:70:26,불량,NV-A,C0,19.13,3133,49693,46760,3호기,1,1142,226,1153,55,342,1144,993,미적용,10,2조
PB563326,2008-08-02:07:70:38,양품,AB/A,C0,19.63,3102,44894,64380,3호기,2,1147,249,1154,53,360,1144,997,적용,10,4조
PB563327,2008-08-02:07:70:36,양품,AB/A,C0,19.63,3102,44894,64380,1호기,2,1149,143,1148,190,360,1134,949,적용,10,3조
PB563328,2008-08-02:07:70:22,양품,KS-SM400A,C0,40,2463,23170,35840,1호기,1,1158,129,1148,194,342,1135,995,적용,6,2조
PB563329,2008-08-02:07:71:13,불량,KS-SM400A,C0,40.16,2464,26416,41040,2호기,1,1135,243,1152,66,342,1147,1071,적용,6,3조
PB563330,2008-08-02:07:71:31,불량,JS-SS400,C0,30.13,2466,31272,91200,2호기,2,1137,217,1149,80,342,1143,1035,적용,8,2조
PB563331,2008-08-02:07:71:13,불량,JS-SS400,C0,30.13,2466,31272,91200,1호기,1,1134,243,1148,72,342,1142,1035,적용,8,2조
PB563332,2008-08-02:07:71:12,불량,JS-SS400,C0,30.13,2466,31272,91200,1호기,2,1137,234,1150,69,342,1144,1030,적용,8,3조
PB563333,2008-08-02:07:72:16,불량,JS-SS400,C0,30.13,2463,22916,40050,2호기,2,1136,221,1153,74,342,1141,1046,적용,8,1조
PB563334,2008-08-02:07:71:03,불량,KS-SS400,C0,25.12,2531,40072,20000,2호기,1,1151,229,1158,57,342,1149,1033,적용,8,2조
PB563335,2008-08-02:07:72:44,불량,KR-A,C0,22.66,2513,46374,82920,3호기,1,1163,229,1158,60,342,1153,1028,적용,8,4조
PB563336,2008-08-02:07:72:09,불량,KR-A,C0,21.15,2655,42785,75440,3호기,2,1153,251,1156,71,342,1150,1025,적용,8,1조
PB563337,2008-08-02:07:73:29,양품,KR-A,C0,22.66,2513,46374,82920,1호기,1,1164,245,1158,60,342,1153,997,적용,8,3조
PB563338,2008-08-02:07:73:47,불량,KR-A,C0,22.66,2783,46379,91840,3호기,1,1172,219,1162,51,342,1152,1001,적용,8,1조
PB563339,2008-08-02:07:73:14,불량,NV-A,C0,21.15,2648,47516,62670,1호기,2,1156,216,1156,74,342,1143,999,미적용,8,4조
PB563340,2008-08-02:07:73:44,불량,KR-A,C0,21.15,2732,44908,81480,2호기,1,1166,229,1162,59,342,1157,999,적용,7,4조
PB563341,2008-08-02:07:74:13,불량,LR-A,C0,19.13,2713,48722,59550,3호기,2,1166,231,1160,69,342,1146,1004,적용,10,1조
PB563342,2008-08-02:07:74:39,불량,CCS-B,C0,19.13,2531,40728,30960,2호기,2,1157,206,1156,77,342,1144,1016,적용,10,4조
PB563343,2008-08-02:07:74:31,불량,KS-SM490A,C0,20.1,2532,45155,54120,1호기,1,1182,241,1171,37,342,1160,1020,적용,8,3조
PB563344,2008-08-02:07:74:32,불량,JS-SM490A,C0,19.1,2469,34063,37830,1호기,2,1165,193,1161,72,342,1148,1026,적용,10,1조
PB563345,2008-08-02:07:75:54,불량,BV-AH32,C0,19.63,2451,43395,49170,2호기,1,1174,75,1163,52,360,1152,1024,적용,10,2조
PB563346,2008-08-02:07:75:32,불량,BV-AH32,C0,19.63,2452,43377,49170,2호기,2,1171,186,1159,79,360,1146,1021,적용,10,1조
PB563347,2008-08-02:07:75:02,불량,JS-SS400,C0,19.1,2702,50922,61890,3호기,1,1179,212,1163,53,342,1150,1006,적용,10,3조
PB563348,2008-08-02:07:75:16,불량,LR-B,C0,20.14,2701,40512,51900,3호기,2,1180,182,1163,68,342,1148,1019,적용,8,2조
PB563349,2008-08-02:07:75:14,불량,KS-SM490A,C0,20.1,2472,51122,59820,1호기,1,1184,199,1169,44,360,1159,1025,적용,8,2조
PB563350,2008-08-02:08:80:45,양품,BV-B,C0,20.44,2411,42987,49890,1호기,2,1171,185,1162,67,342,1156,990,적용,8,3조
PB563351,2008-08-02:08:80:05,불량,LR-A,C0,18.62,2745,54258,108850,3호기,1,1178,69,1165,57,342,1159,1005,적용,10,1조
PB563352,2008-08-02:08:80:24,양품,LR-A,C0,18.11,2595,54917,40520,2호기,1,1176,88,1163,52,342,1156,987,적용,10,2조
PB563353,2008-08-02:08:80:38,양품,JS-SM400B,C0,18.1,2520,42675,61120,2호기,2,1171,63,1160,76,342,1148,958,적용,10,3조
PB563354,2008-08-02:08:81:50,불량,JS-SM400B,C0,18.1,2520,42675,61120,3호기,2,1180,67,1163,68,342,1158,1027,적용,10,3조
PB563355,2008-08-02:08:81:00,불량,JS-SM400B,C0,18.1,2520,42675,61120,1호기,1,1175,75,1165,42,342,1158,1031,적용,10,3조
PB563356,2008-08-02:08:81:53,불량,LR-A,C0,15.08,2523,50959,30440,1호기,2,1171,59,1163,70,342,1155,1002,적용,10,3조
PB563357,2008-08-02:08:81:21,양품,NV-A,C0,15.08,2523,50089,29920,2호기,1,1165,74,1160,55,342,1153,962,적용,10,3조
PB563358,2008-08-02:08:81:33,양품,JS-SM490YB,C0,16.09,2512,37380,35580,2호기,2,1182,82,1162,64,342,1152,973,적용,10,2조
PB563359,2008-08-02:08:82:08,양품,KR-A,C0,15.08,2520,54674,16310,3호기,1,1180,78,1162,53,342,1150,998,적용,10,1조
PB563360,2008-08-02:08:82:51,양품,NV-A,C0,16.6,2675,54392,18960,3호기,2,1182,74,1164,55,342,1156,982,적용,10,3조
PB563361,2008-08-02:08:82:11,양품,LR-A,C0,16.39,2405,42303,13090,1호기,1,1168,64,1161,52,342,1154,984,적용,10,1조
PB563362,2008-08-02:08:83:15,양품,LR-A,C0,15.89,2562,46342,14810,1호기,2,1174,61,1165,73,342,1160,978,적용,10,4조
PB563363,2008-08-02:08:83:39,양품,LR-A,C0,16.09,2655,52841,35440,2호기,1,1169,77,1159,58,342,1153,968,적용,10,3조
PB563364,2008-08-02:08:83:02,양품,BV-AH32,C0,15.08,2611,43709,40530,2호기,2,1177,77,1161,71,342,1147,1000,적용,10,1조
PB563365,2008-08-02:08:84:00,불량,NV-A32,C0,16.6,2481,42808,13840,3호기,1,1169,65,1158,67,342,1150,1004,미적용,10,4조
PB563366,2008-08-02:08:84:44,불량,LR-A,C0,14.07,2610,54254,62560,3호기,2,1169,73,1162,61,342,1153,955,미적용,10,4조
PB563367,2008-08-02:08:84:18,양품,NK-KA,C0,14.07,2555,52835,44730,1호기,1,1165,61,1158,57,342,1143,960,적용,10,4조
PB563368,2008-08-02:08:84:54,양품,NV-A,C0,14.07,2558,49658,28060,1호기,2,1170,65,1161,70,342,1154,964,적용,10,2조
PB563369,2008-08-02:08:85:13,양품,NV-A,C0,14.58,2615,54862,32840,2호기,1,1168,58,1158,58,342,1151,959,적용,10,4조
PB563370,2008-08-02:08:85:41,양품,NK-KA,C0,13.06,2750,54906,61920,2호기,2,1167,66,1158,84,342,1143,933,적용,10,2조
PB563371,2008-08-02:08:85:54,양품,GL-A,C0,13.06,2695,51901,14340,3호기,1,1165,70,1157,62,342,1142,958,적용,10,1조
PB563372,2008-08-02:08:85:43,양품,NV-A,C0,13.57,2795,54444,32420,3호기,2,1168,72,1161,60,342,1146,941,적용,10,1조
PB563373,2008-08-02:09:90:04,양품,LR-A,C0,18.41,2200,43624,41610,1호기,1,1160,49,1154,61,342,1139,991,적용,10,4조
PB563374,2008-08-02:09:90:13,양품,BV-B,C0,18.4,2200,43176,41160,1호기,2,1165,60,1158,70,342,1153,987,적용,10,4조
PB563375,2008-08-02:09:90:06,양품,LR-A,C0,18.61,2200,43497,27960,2호기,1,1150,57,1160,55,342,1153,993,적용,10,1조
PB563376,2008-08-02:09:92:56,양품,A283-C,C0,18.15,2281,40770,53000,2호기,2,1163,73,1155,86,342,1147,981,적용,10,2조
PB563377,2008-08-02:09:92:41,불량,SA283-C,C0,20.18,2281,43144,77950,3호기,1,1159,66,1155,80,342,1143,1002,적용,8,4조
PB563378,2008-08-02:09:92:29,불량,SA283-C,C0,20.18,2240,39679,84480,3호기,2,1170,78,1159,59,342,1147,1044,적용,8,3조
PB563379,2008-08-02:09:93:01,불량,LR-A,C0,20.43,2245,39828,14340,1호기,1,1157,55,1154,76,342,1145,1007,적용,8,1조
PB563380,2008-08-02:09:93:10,양품,LR-A,C0,20.13,2200,39897,13870,1호기,2,1158,63,1156,87,342,1144,975,적용,8,2조
PB563381,2008-08-02:09:93:08,양품,SA283-C,C0,20.18,2200,38019,66250,2호기,1,1151,63,1157,78,342,1152,991,적용,8,2조
PB563382,2008-08-02:09:93:58,불량,SA283-C,C0,20.18,2200,38019,66250,2호기,2,1154,78,1154,87,342,1143,979,미적용,8,4조
PB563383,2008-08-02:09:93:18,양품,SA283-C,C0,20.18,2200,40687,85080,3호기,1,1162,59,1162,68,398,1150,982,적용,8,4조
PB563384,2008-08-02:09:94:46,불량,KS-SM490A,C0,20.1,1929,34136,20780,3호기,2,1162,78,1158,73,360,1153,1018,적용,8,4조
PB563385,2008-08-02:09:94:36,불량,KR-A,C0,22.66,2339,34345,42870,1호기,1,1150,57,1150,85,342,1138,1010,적용,8,1조
PB563386,2008-08-02:09:94:19,불량,KR-A,C0,22.66,2339,34345,42870,1호기,2,1157,60,1156,85,342,1144,1018,적용,8,4조
PB563387,2008-08-02:09:94:08,불량,SA283-C,C0,20.18,2379,34601,65200,2호기,1,1171,78,1158,66,342,1147,1011,적용,8,2조
PB563388,2008-08-02:09:94:00,불량,SA283-C,C0,20.18,2200,38019,66250,2호기,2,1171,72,1166,69,342,1161,1010,적용,8,4조
PB563389,2008-08-02:09:94:51,불량,SA283-C,C0,20.18,2200,38019,66250,3호기,1,1182,73,1164,67,342,1151,1004,적용,8,1조
PB563390,2008-08-02:09:95:40,불량,SA283-C,C0,20.18,2200,37875,79200,3호기,2,1176,72,1162,68,342,1154,1013,적용,7,2조
PB563391,2008-08-02:09:95:30,양품,SA283-C,C0,20.18,2200,38019,66250,1호기,1,1174,62,1165,65,342,1151,999,적용,8,2조
PB563392,2008-08-02:09:95:20,양품,SA283-C,C0,20.18,2200,38019,66250,1호기,2,1172,61,1165,77,342,1157,999,적용,8,1조
PB563393,2008-08-02:09:95:19,불량,A283-C,C0,26.24,2583,31256,83150,2호기,1,1165,73,1160,63,369,1147,1026,적용,8,3조
PB563394,2008-08-02:09:95:13,불량,A283-C,C0,26.24,2583,31256,83150,2호기,2,1177,69,1177,65,395,1165,1036,적용,8,4조
PB563408,2008-08-02:10:00:16,불량,LR-AH32,C0,17.1,2723,51159,37400,3호기,1,1179,81,1168,63,395,1160,950,미적용,10,2조
PB563409,2008-08-02:10:00:37,양품,NV-A32,C0,16.09,2593,49005,48150,3호기,2,1177,76,1166,64,361,1155,977,적용,10,2조
PB563410,2008-08-02:10:00:18,불량,NV-A32,C0,16.09,2590,40289,26360,1호기,1,1193,66,1181,62,373,1166,964,적용,10,1조
PB563411,2008-08-02:10:00:25,불량,NV-A32,C0,16.09,2590,40442,26460,1호기,2,1198,63,1180,75,385,1165,944,적용,10,1조
PB563412,2008-08-02:10:01:47,양품,NV-A32,C0,15.08,2485,54560,16050,2호기,1,1117,58,1156,75,376,1142,927,적용,10,1조
PB563413,2008-08-02:10:01:20,불량,NK-KA32,C0,15.08,2695,53568,17090,2호기,2,1202,93,1177,41,377,1171,962,적용,10,1조
PB563414,2008-08-02:10:01:49,양품,GL-A32,C0,15.08,2770,54649,71680,3호기,1,1175,93,1162,46,250,1147,955,적용,10,4조
PB563415,2008-08-02:10:01:16,양품,NV-A,C0,14.07,2565,54111,15330,3호기,2,1156,50,1168,76,371,1154,947,적용,10,1조
PB563416,2008-08-02:10:02:54,양품,LR-A,C0,13.06,2695,54543,30140,1호기,1,1188,98,1170,41,246,1160,951,적용,10,4조
PB563417,2008-08-02:10:02:14,양품,NV-A32,C0,12.56,2693,54195,14390,1호기,2,1173,63,1169,76,373,1164,959,적용,10,3조
PB563418,2008-08-02:10:02:27,양품,GL-A32,C0,12.05,2732,48098,37290,2호기,1,1136,82,1149,54,279,1137,961,적용,10,3조
PB563419,2008-08-02:10:02:57,양품,LR-A,C0,12.05,2557,32331,15640,2호기,2,1192,94,1167,44,277,1158,971,적용,10,1조
PB563420,2008-08-02:10:03:54,양품,NV-A,C0,12.05,2298,35974,7820,3호기,1,1175,84,1163,58,272,1150,984,적용,10,4조
PB563421,2008-08-02:10:03:13,양품,LR-AH32,C0,16.09,2381,43526,13090,3호기,2,1167,79,1162,59,261,1155,1000,적용,10,4조
PB563422,2008-08-02:10:03:27,불량,SA283-C,C0,20.18,2379,35291,66500,1호기,1,1173,89,1159,52,246,1146,1001,적용,8,3조
PB563423,2008-08-02:10:03:29,불량,NV-A32,C0,19.12,2331,42759,14960,1호기,2,1184,85,1168,54,256,1159,949,적용,9,4조
PB563424,2008-08-02:10:04:32,양품,JS-SM490YA,C0,19.1,2040,38774,35580,2호기,1,1146,81,1151,61,261,1136,1000,적용,10,2조
PB563425,2008-08-02:10:04:28,불량,JS-SM490A,C0,30.13,2288,30730,33260,2호기,2,1150,87,1154,54,259,1141,1010,적용,8,1조
PB563426,2008-08-02:10:04:00,양품,V42JBN3,C3,32.06,2200,30595,50820,3호기,1,1141,73,1153,65,258,1144,921,적용,8,2조
PB563427,2008-08-02:10:04:27,불량,JS-SM400A,C0,100.34,2315,9547,17410,3호기,2,1144,85,1150,52,269,1140,1050,적용,6,3조
PB563428,2008-08-02:10:04:06,불량,JS-SM400A,C0,100.34,2315,9547,17410,1호기,1,1130,78,1137,61,268,1127,1037,적용,6,4조
PB563429,2008-08-02:10:05:55,양품,NV-A32,C0,19.13,2733,49754,20420,1호기,2,1164,72,1158,60,255,1147,961,적용,10,2조
PB563430,2008-08-02:10:05:27,양품,NV-A32,C0,16.09,2690,54743,18600,2호기,1,1169,69,1160,64,257,1155,977,적용,10,4조
PB563431,2008-08-02:10:05:41,양품,BV-AH32,C0,16.09,2471,43959,13720,2호기,2,1167,81,1158,55,259,1145,995,적용,10,3조
PB563432,2008-08-02:11:10:15,양품,NK-KA32,C0,15.08,2568,51612,15690,3호기,1,1162,70,1158,63,246,1143,965,적용,10,1조
PB563433,2008-08-02:11:10:48,양품,GL-A32,C0,13.06,2783,49699,42540,3호기,2,1174,73,1164,64,258,1156,948,적용,10,2조
PB563434,2008-08-02:11:10:20,양품,NV-A32,C0,13.06,2730,52343,29300,1호기,1,1148,71,1147,66,244,1132,941,적용,10,3조
PB563435,2008-08-02:11:10:40,양품,LR-AH32,C0,12.05,2680,53883,27320,1호기,2,1169,69,1161,66,258,1150,941,적용,10,4조
PB563436,2008-08-02:11:11:21,불량,AB/AH32,C0,12.56,2690,53690,42720,2호기,1,1170,78,1161,57,242,1152,909,적용,9,4조
PB563437,2008-08-02:11:11:44,양품,BV-AH32,C0,12.05,2750,54511,42540,2호기,2,1171,71,1162,67,260,1150,936,적용,10,4조
PB563438,2008-08-02:11:11:11,양품,AB/AH32,C0,12.56,2693,53630,42720,3호기,1,1166,67,1157,69,257,1151,938,적용,10,2조
PB563439,2008-08-02:11:11:33,양품,AB/AH32,C0,12.56,2693,53819,42870,3호기,2,1183,78,1166,58,257,1160,936,적용,10,4조
PB563440,2008-08-02:11:12:03,양품,KR-AH32,C0,13.06,2685,53620,29520,1호기,1,1164,69,1157,69,238,1147,942,적용,10,4조
PB563441,2008-08-02:11:12:30,양품,NV-A32,C0,13.06,2790,54853,15690,1호기,2,1157,69,1155,68,256,1147,937,적용,10,2조
PB563442,2008-08-02:11:12:59,양품,NK-KA32,C0,14.07,2583,51351,14650,2호기,1,1169,79,1164,70,254,1151,950,적용,10,1조
PB563443,2008-08-02:11:12:33,양품,NV-A32,C0,14.58,2513,50587,14550,2호기,2,1174,45,1168,68,262,1159,996,적용,10,4조
PB563444,2008-08-02:11:12:31,불량,KS-SM490A,C0,30.13,2527,26702,31920,3호기,1,1156,51,1155,69,257,1146,1016,적용,8,4조
PB563445,2008-08-02:11:13:34,불량,A283-C,C0,26.24,2516,29965,62120,3호기,2,1172,61,1164,57,254,1155,1034,적용,8,3조
PB563446,2008-08-02:11:13:16,불량,A283-C,C0,26.24,2517,31959,66280,1호기,1,1162,79,1156,69,245,1142,1019,적용,8,2조
PB563447,2008-08-02:11:13:09,불량,NV-A,C0,25.19,2675,38112,40320,1호기,2,1145,46,1149,68,257,1136,1005,적용,8,3조
PB563448,2008-08-02:11:13:04,불량,LR-A,C0,22.15,2500,38854,33780,2호기,1,1178,70,1163,56,251,1155,1025,적용,8,3조
PB563449,2008-08-02:11:13:48,불량,SA283-C,C0,19.18,2529,34246,65200,2호기,2,1171,58,1164,56,252,1156,1025,적용,9,2조
PB563450,2008-08-02:11:14:47,불량,JS-SM490YA,C0,19.1,2040,38774,35580,3호기,1,1145,61,1152,68,273,1137,1033,적용,10,2조
PB563451,2008-08-02:11:14:39,불량,JS-SM490YA,C0,19.1,2040,38774,35580,3호기,2,1168,71,1162,56,261,1154,1035,적용,10,1조
PB563452,2008-08-02:11:14:33,불량,NV-A32,C0,17.1,2346,42741,13460,1호기,1,1171,55,1159,69,252,1151,1013,적용,10,2조
PB563453,2008-08-02:11:14:43,양품,JS-SM490A,C0,14.09,2754,42972,52360,1호기,2,1130,54,1141,66,267,1132,941,적용,10,2조
PB563454,2008-08-02:11:14:05,양품,SA283-C,C0,14.12,3128,39398,68300,2호기,1,1171,69,1168,52,252,1163,957,적용,10,3조
PB563455,2008-08-02:11:15:43,양품,SA283-C,C0,16.14,3125,32934,65200,2호기,2,1173,70,1165,51,250,1154,975,적용,10,4조
PB563456,2008-08-02:11:15:44,양품,SA283-C,C0,16.14,3125,32934,65200,3호기,1,1156,68,1157,65,250,1143,975,적용,10,4조
PB563457,2008-08-02:11:15:58,양품,SA283-C,C0,18.16,3126,31483,70150,3호기,2,1184,67,1167,52,250,1158,991,적용,10,3조
PB563458,2008-08-02:11:15:52,불량,A283-C,C0,19.18,3125,28607,40380,1호기,1,1161,62,1156,69,250,1149,988,적용,9,4조
PB563459,2008-08-02:11:15:57,양품,BV-B,C0,20.43,2999,34888,50340,1호기,2,1146,54,1151,66,248,1140,993,적용,8,2조
PB563460,2008-08-02:12:20:11,양품,SA283-C,C0,20.19,3126,31466,77950,2호기,1,1177,71,1172,50,247,1162,994,적용,8,3조
PB563461,2008-08-02:12:20:07,양품,SA283-C,C0,20.18,3082,32996,80550,2호기,2,1177,73,1164,47,245,1157,989,적용,8,3조
PB563462,2008-08-02:12:20:43,양품,NV-A32,C0,20.14,3026,42578,20370,3호기,1,1165,67,1160,63,256,1152,991,적용,8,4조
PB563463,2008-08-02:12:20:34,양품,SA283-C,C0,20.19,3125,29154,57760,3호기,2,1167,62,1166,60,251,1156,982,적용,8,3조
PB563464,2008-08-02:12:20:20,불량,SA283-C,C0,33.67,3127,19298,47850,1호기,1,1181,72,1166,60,248,1154,1037,적용,8,3조
PB563465,2008-08-02:12:22:25,양품,LR-A,C0,19.93,3112,45576,44380,3호기,1,1170,72,1163,62,251,1156,984,적용,10,2조
PB563466,2008-08-02:12:22:48,양품,LR-A,C0,20.14,2800,51753,22910,3호기,2,1180,63,1170,61,252,1156,993,적용,8,2조
PB563467,2008-08-02:12:21:06,양품,NV-A32,C0,16.6,3137,46650,57210,1호기,2,1175,61,1167,66,252,1157,960,적용,10,1조
PB563468,2008-08-02:12:21:29,양품,NV-A32,C0,15.08,3138,51471,19120,2호기,1,1192,76,1173,42,241,1159,956,적용,10,4조
PB563469,2008-08-02:12:22:13,양품,LR-AH32,C0,15.08,3060,51927,18810,2호기,2,1176,71,1164,57,250,1155,927,적용,10,1조
PB563470,2008-08-02:12:22:25,불량,LR-AH32,C0,13.57,2801,50842,30340,1호기,1,1181,63,1168,64,254,1157,947,미적용,10,2조
PB563471,2008-08-02:12:23:57,양품,LR-AH32,C0,13.57,2815,53723,16110,1호기,2,1177,63,1165,62,252,1154,941,적용,10,1조
PB563472,2008-08-02:12:23:11,불량,LR-AH32,C0,19.63,3097,47041,22450,3호기,1,1177,72,1164,60,253,1159,1004,적용,10,4조
PB563473,2008-08-02:12:23:29,양품,NV-A32,C0,19.63,2903,49358,44160,3호기,2,1177,72,1166,60,248,1156,998,적용,10,1조
PB563474,2008-08-02:12:23:51,양품,NK-KA32,C0,13.06,2800,52672,60480,2호기,1,1183,73,1165,55,257,1150,937,적용,10,3조
PB563475,2008-08-02:12:24:29,양품,NK-KA32,C0,13.06,3083,49640,31380,2호기,2,1188,71,1166,58,256,1154,942,적용,10,4조
PB563476,2008-08-02:12:24:53,양품,NK-KA32,C0,13.06,2850,52809,61720,1호기,1,1192,63,1173,64,255,1168,938,적용,10,1조
PB563477,2008-08-02:12:24:54,양품,NK-KA32,C0,13.06,2865,52873,62120,1호기,2,1185,62,1170,63,253,1156,943,적용,10,3조
PB563478,2008-08-02:12:24:12,양품,LR-A,C0,13.06,3092,49180,46770,2호기,1,1164,70,1159,52,236,1147,915,적용,10,1조
PB563479,2008-08-02:12:25:26,양품,NV-A32,C0,13.06,2997,47842,14700,2호기,2,1171,65,1163,58,255,1150,928,적용,10,1조
PB563480,2008-08-02:12:25:51,양품,NK-KA32,C0,13.06,2995,53965,49710,3호기,1,1182,62,1166,65,252,1157,931,적용,10,1조
PB563481,2008-08-02:12:25:42,양품,NK-KA32,C0,13.06,2800,52672,60480,3호기,2,1176,70,1162,67,254,1151,932,적용,10,2조
PB563482,2008-08-02:12:25:02,양품,NK-KA32,C0,13.06,2857,49128,28780,1호기,1,1186,66,1170,59,254,1164,926,적용,10,3조
PB563483,2008-08-02:13:30:39,양품,GL-A32,C0,12.05,2835,54443,14600,1호기,2,1172,60,1161,74,255,1146,919,적용,10,2조
PB563484,2008-08-02:13:30:47,양품,LR-AH32,C0,12.05,2855,53469,28880,2호기,1,1161,56,1160,54,237,1152,891,적용,10,3조
