PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563163,2008-08-01:18:80:53,양품,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,2,1192,73,1167,58,242,1157,977,적용,10,4조
PB563164,2008-08-01:18:80:30,양품,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,1,1183,79,1162,44,236,1150,936,적용,10,3조
PB563165,2008-08-01:18:80:41,불량,NV-A32,C0,18.11,3102,46259,20400,3호기,1,1194,73,1170,61,248,1165,982,적용,9,2조
PB563166,2008-08-01:18:81:17,불량,NV-A32,C0,18.11,3053,48315,62910,3호기,2,1193,63,1176,64,245,1165,973,적용,9,3조
PB563167,2008-08-01:18:81:16,불량,GL-A32,C0,17.1,3018,49195,19930,3호기,1,1198,64,1172,57,238,1165,972,미적용,10,1조
PB563168,2008-08-01:18:81:57,양품,NV-A32,C0,18.62,3111,42179,38360,1호기,1,1195,72,1165,49,240,1158,989,적용,10,4조
PB563169,2008-08-01:18:81:41,불량,NV-A32,C0,17.1,3133,50195,63330,3호기,2,1204,71,1176,50,238,1161,972,적용,10,3조
PB563170,2008-08-01:18:82:18,양품,BV-B,C0,19.13,2956,43072,76480,1호기,2,1177,63,1157,68,241,1152,957,적용,10,4조
PB563171,2008-08-01:18:82:38,양품,NV-D36-TM,T7,23.15,4075,22524,16680,2호기,2,1200,64,1159,58,237,1151,905,적용,8,3조
PB563172,2008-08-01:18:82:05,양품,NK-KA32-TM,T0,22.15,2884,30690,61560,2호기,1,1173,73,1153,58,242,1145,915,적용,8,1조
PB563173,2008-08-01:18:83:42,불량,GL-A32-TM,T0,13.06,3328,33383,22780,1호기,1,1179,66,1153,57,241,1144,863,적용,9,3조
PB563174,2008-08-01:18:83:31,양품,GL-A32-TM,T0,15.08,3239,36930,28320,1호기,2,1137,55,1136,68,245,1127,923,적용,10,3조
PB563175,2008-08-01:18:83:07,양품,GL-A32-TM,T0,15.08,2724,37058,23900,2호기,1,1147,53,1133,66,243,1122,916,적용,10,1조
PB563176,2008-08-01:18:84:08,양품,LR-AH36-TM,T7,17.61,2795,37735,43740,2호기,2,1187,62,1151,66,246,1138,904,적용,10,2조
PB563177,2008-08-01:18:84:56,불량,LR-EH32-TM,T1,13.06,2615,54458,58400,3호기,1,1174,55,1165,75,247,1150,880,미적용,10,3조
PB563178,2008-08-01:18:84:38,양품,NV-E32-TM,T1,13.06,2475,54465,55280,3호기,2,1169,56,1163,74,248,1150,889,적용,10,4조
PB563179,2008-08-01:18:84:33,양품,NV-E32-TM,T1,13.56,2475,54544,57480,1호기,1,1129,54,1130,73,261,1116,892,적용,10,3조
PB563180,2008-08-01:18:85:10,양품,KS-HSB500,T5,25,1800,30205,32010,1호기,2,1160,57,1143,73,261,1132,823,적용,8,4조
PB563181,2008-08-01:18:85:32,양품,KS-HSB500,T5,27,1915,26288,21340,2호기,1,1140,51,1134,68,262,1120,827,적용,8,4조
